time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
0,0,2.0,14.0,2.32260101010101,2.0,3.0,1584,0.0,160.0,78.13592233009709,80.0,151.59999999999997,103,0.0,568.0,247.53398058252426,248.0,534.3999999999999,103,1.0,1.0,1.0,1.0,1.0,103,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,103,103.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,150.17440542578697
1,60000000000,2.0,14.0,2.3244949494949494,2.0,3.0,1584,0.0,160.0,77.32075471698113,76.0,151.0,106,0.0,568.0,243.39622641509433,232.0,532.0,106,1.0,1.0,1.0,1.0,1.0,59,0.9999999999999999,1.0000000000000004,1.0,1.0,1.0000000000000002,59,106.0,59.0,0.5566037735849056,0.0,0.0,0.0,0.0,47.0,0.44339622641509435,47.71961737424135
2,120000000000,2.0,15.0,2.3282828282828283,2.0,3.0,1584,0.0,156.0,78.53211009174312,76.0,150.39999999999998,109,0.0,552.0,246.75229357798165,232.0,529.5999999999999,109,1.0,1.0,1.0,1.0,1.0,51,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,51,109.0,51.0,0.46788990825688076,0.0,0.0,0.0,0.0,58.0,0.5321100917431193,82.7869139611721
3,180000000000,2.0,15.0,2.3327020202020203,2.0,4.0,1584,0.0,160.0,78.78571428571429,80.0,149.79999999999995,112,0.0,568.0,250.21428571428572,248.0,527.1999999999998,112,1.0,1.0,1.0,1.0,1.0,112,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,112,112.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.81699012964964
4,240000000000,2.0,14.0,2.330808080808081,2.0,3.849999999999909,1584,0.0,156.0,76.10526315789474,76.0,148.0,114,0.0,552.0,238.73684210526315,232.0,520.0,114,1.0,1.0,1.0,1.0,1.0,53,0.9999999999999998,1.0,1.0,1.0,1.0,53,114.0,53.0,0.4649122807017544,0.0,0.0,0.0,0.0,61.0,0.5350877192982456,86.18330117315054
5,300000000000,2.0,15.0,2.331439393939394,2.0,4.0,1584,0.0,156.0,77.48148148148148,76.0,150.59999999999997,108,0.0,552.0,243.92592592592592,232.0,530.3999999999999,108,1.0,1.0,1.0,1.0,1.0,43,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,43,108.0,43.0,0.39814814814814814,0.0,0.0,0.0,0.0,65.0,0.6018518518518519,50.8656520396471
6,360000000000,2.0,15.0,2.3295454545454546,2.0,3.0,1584,0.0,160.0,77.13761467889908,72.0,150.39999999999998,109,0.0,568.0,242.4954128440367,216.0,529.5999999999999,109,1.0,1.0,1.0,1.0,1.0,109,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,109,109.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.4604266360402
7,420000000000,2.0,14.0,2.327020202020202,2.0,3.0,1584,0.0,156.0,76.69090909090909,76.0,152.0,110,0.0,552.0,242.61818181818182,232.0,536.0,110,1.0,1.0,1.0,1.0,1.0,62,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,62,110.0,62.0,0.5636363636363636,0.0,0.0,0.0,0.0,48.0,0.43636363636363634,47.38317895680666
8,480000000000,2.0,14.0,2.3289141414141414,2.0,3.0,1584,0.0,156.0,75.48717948717949,76.0,145.5999999999999,117,0.0,552.0,235.48717948717947,232.0,510.39999999999964,117,1.0,1.0,1.0,1.0,1.0,44,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,44,117.0,44.0,0.37606837606837606,0.0,0.0,0.0,0.0,73.0,0.6239316239316239,87.6909950748086
9,540000000000,2.0,15.0,2.3390151515151514,2.0,3.0,1584,0.0,160.0,77.856,84.0,152.0,125,0.0,568.0,246.912,264.0,536.0,125,1.0,1.0,1.0,1.0,1.0,125,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,125,125.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.10729110240936
